TimesH,Frame,NoMissing,13,13,49,49,54,54,57,57,63,63,69,69,70,70,73,73,77,77,165,165,185,185,196,196,211,211,213,213,219,219,230,230,232,232,243,243,246,246,249,249,257,257,262,262,265,265,270,270,272,272,279,279,286,286,288,288,290,290,298,298,301,301,306,306,307,307,310,310,312,312,314,314,317,317,328,328,330,330,332,332,336,336,343,343,411,411,527,527,528,528,546,546,588,588,592,592,603,603,616,616,629,629,642,642,644,644,742,742,969,969,972,972,978,978,1091,1091,1112,1112,1428,1428,1448,1448,1534,1534,1542,1542,1576,1576,1593,1593,1604,1604,1760,1760,1814,1814,1860,1860,1946,1946,2082,2082,2086,2086,2169,2169,2187,2187,2294,2294,2372,2372,2413,2413,2479,2479,2611,2611,2665,2665,2704,2704,2778,2778,2982,2982
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
356.25,1425.0,,91.118,188.516,358.0,2.0,112.14200000000001,174.794,280.248,175.176,105.67399999999999,178.976,70.648,180.83,82.09299999999999,180.704,273.834,180.74900000000002,304.8,180.68099999999998,248.979,88.375,88.825,105.41,201.09599999999998,112.01,78.271,123.20100000000001,155.488,123.984,143.237,127.447,267.468,118.73,103.294,120.236,112.764,137.298,74.167,139.013,296.909,129.18,262.561,130.453,321.26599999999996,144.507,215.77200000000002,146.158,265.269,147.572,50.501000000000005,149.155,258.14,139.357,244.21900000000002,142.013,89.084,143.869,115.302,145.382,88.455,163.174,51.665,164.975,230.997,165.639,258.282,165.574,65.64699999999999,167.93900000000002,264.837,167.815,99.742,168.704,316.647,169.06099999999998,276.938,150.951,302.279,153.25799999999998,230.59099999999998,153.942,259.263,155.529,120.58,158.055,117.37799999999999,121.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.5,1426.0,,91.12899999999999,188.50900000000001,358.0,2.0,,,280.243,175.166,105.695,178.97,70.687,180.832,82.065,180.648,273.83099999999996,180.732,304.716,180.615,248.965,88.37799999999999,88.805,105.39,201.092,111.995,78.328,123.295,155.493,124.008,143.243,127.43799999999999,267.478,118.70700000000001,103.291,120.23200000000001,112.742,137.25799999999998,74.149,139.013,296.92400000000004,129.179,262.276,130.578,321.279,144.528,215.845,146.255,265.152,147.46,50.371,149.141,258.16200000000003,139.364,244.21599999999998,142.486,89.086,143.83100000000002,115.292,145.363,88.449,163.191,51.669,164.96400000000003,230.965,165.68,258.248,165.521,65.628,167.91099999999997,264.807,167.78400000000002,99.744,168.71900000000002,316.647,169.046,276.93,150.93200000000002,302.272,153.26,230.605,153.92700000000002,259.235,155.511,120.546,158.02200000000002,117.676,121.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.75,1427.0,,91.18700000000001,188.482,358.0,2.0,112.131,174.775,280.225,175.16099999999997,105.68299999999999,178.945,70.667,180.81099999999998,82.035,180.623,273.83299999999997,180.71099999999998,304.749,180.59099999999998,248.955,88.329,88.804,105.35799999999999,201.088,111.97399999999999,78.399,123.412,155.389,124.009,143.251,127.42299999999999,267.498,118.646,103.259,120.20700000000001,112.69,137.232,74.176,138.984,296.91700000000003,129.18,262.513,130.45600000000002,321.283,144.499,215.847,146.22899999999998,265.29,147.613,50.363,149.065,258.15,139.356,244.18099999999998,142.48,89.087,143.8,115.273,145.338,88.455,163.159,51.638000000000005,164.958,230.952,165.632,258.21299999999997,165.458,65.592,167.882,264.814,167.757,99.728,168.705,316.644,169.042,276.947,150.891,302.307,153.243,230.595,153.941,259.259,155.499,120.523,158.06799999999998,117.72,121.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0,1428.0,,91.19200000000001,188.468,358.0,2.0,112.11,174.745,280.22700000000003,175.171,105.66,178.929,70.62,180.731,82.06700000000001,180.602,273.82099999999997,180.688,304.73,180.515,248.96200000000002,88.302,88.82,105.40899999999999,201.095,111.98,78.414,123.49600000000001,155.395,124.001,143.253,127.413,267.498,118.646,103.25,120.19200000000001,112.67200000000001,137.21,74.19,138.93200000000002,296.915,129.157,262.649,130.33,321.30400000000003,144.496,215.851,146.186,265.34,147.662,50.358000000000004,149.061,258.12,139.336,244.158,142.131,89.081,143.731,115.24600000000001,145.326,88.464,163.138,51.613,164.92700000000002,230.92,165.611,258.24,165.42,65.578,167.86,264.82099999999997,167.722,99.71600000000001,168.68900000000002,316.65,169.053,276.939,150.884,302.308,153.231,230.56900000000002,153.904,259.247,155.484,120.50399999999999,158.02700000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.25,1429.0,,91.197,188.468,358.0,2.0,112.055,174.736,280.224,175.16,105.62700000000001,178.938,70.601,180.713,82.073,180.58599999999998,273.82,180.675,304.624,180.423,248.926,88.314,88.755,105.398,201.09,111.98200000000001,78.484,123.478,155.35,124.053,143.273,127.419,267.529,118.602,103.22399999999999,120.13,112.675,137.21200000000002,74.149,138.876,296.921,129.15200000000002,262.599,130.341,321.332,144.524,215.87,146.22899999999998,265.408,147.746,50.29600000000001,149.064,258.147,139.345,244.197,142.545,89.064,143.688,115.251,145.333,88.435,163.121,51.602,164.915,230.905,165.597,258.26099999999997,165.425,65.617,167.827,264.881,167.697,99.713,168.709,316.647,169.043,276.928,150.859,302.289,153.221,230.576,153.88299999999998,259.257,155.451,120.376,158.095,117.914,121.51100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.5,1430.0,,91.20100000000001,188.452,358.0,2.0,112.022,174.8,280.218,175.13400000000001,105.64399999999999,178.92,70.569,180.701,81.99700000000001,180.48,273.816,180.657,304.60200000000003,180.483,248.94,88.271,88.735,105.396,201.078,111.961,78.55199999999999,123.169,155.356,123.891,143.293,127.396,267.513,118.595,103.22200000000001,120.11200000000001,112.677,137.19299999999998,74.124,138.825,296.93,129.162,262.698,130.259,321.317,144.55200000000002,215.898,146.23,265.363,147.7,50.157,149.019,258.129,139.349,244.18900000000002,142.516,89.061,143.623,115.23700000000001,145.338,88.426,163.055,51.596000000000004,164.9,230.9,165.53799999999998,258.264,165.4,65.585,167.77200000000002,264.88,167.68400000000003,99.696,168.687,316.64799999999997,169.025,276.933,150.82,302.303,153.211,230.58599999999998,153.82,259.278,155.422,120.42,158.062,118.07,121.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.75,1431.0,,91.23200000000001,188.43599999999998,358.0,2.0,111.98,174.80900000000003,280.211,175.114,105.65799999999999,178.90200000000002,70.48899999999999,180.655,82.009,180.407,273.811,180.655,304.562,180.467,248.89700000000002,88.27,88.695,105.389,201.03400000000002,111.87299999999999,78.488,123.288,155.43,123.846,143.30200000000002,127.396,267.507,118.561,103.18700000000001,120.073,112.633,137.16899999999998,74.077,138.825,296.932,129.187,262.651,130.25,321.293,144.571,215.912,146.253,265.41,147.711,50.156000000000006,149.006,258.156,139.35399999999998,244.252,142.46,89.053,143.571,115.229,145.36700000000002,88.443,163.05100000000002,51.583999999999996,164.88299999999998,230.84900000000002,165.467,258.265,165.382,65.539,167.735,264.893,167.67,99.665,168.64,316.659,169.014,276.937,150.782,302.293,153.19299999999998,230.59599999999998,153.776,259.277,155.39,120.266,158.093,117.42,121.31200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0,1432.0,,91.229,188.418,358.0,2.0,111.999,174.77,280.26,175.108,105.679,178.865,70.575,180.65400000000002,81.98899999999999,180.382,273.802,180.642,304.574,180.54,248.838,88.14299999999999,88.667,105.36200000000001,201.037,111.82,78.53,123.113,155.407,123.919,143.27700000000002,127.38799999999999,267.508,118.52,103.19200000000001,120.01100000000001,112.61,137.119,74.039,138.799,296.933,129.20600000000002,262.7,130.19299999999998,321.28,144.553,215.918,146.256,265.37,147.678,50.023,148.955,258.17400000000004,139.34,244.22,142.02700000000002,89.04799999999999,143.55,115.215,145.378,88.448,163.014,51.575,164.859,230.865,165.428,258.257,165.32,65.505,167.727,264.895,167.653,99.62299999999999,168.572,316.66,169.00400000000002,276.952,150.753,302.29400000000004,153.168,230.622,153.77700000000002,259.297,155.352,120.12799999999999,158.123,116.90100000000001,121.12799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.25,1433.0,,91.215,188.40599999999998,358.0,2.0,112.079,174.676,280.32099999999997,175.104,105.706,178.826,70.51899999999999,180.606,81.965,180.347,273.789,180.59799999999998,304.598,180.48,248.86599999999999,88.133,88.68,105.32,201.025,111.787,78.561,123.05,155.44,123.786,143.276,127.385,267.522,118.486,103.161,119.979,112.60700000000001,137.105,73.95100000000001,138.786,296.94,129.196,262.784,130.078,321.252,144.539,215.857,146.154,265.345,147.645,49.971000000000004,148.974,258.183,139.325,244.238,142.637,89.012,143.493,115.165,145.361,88.416,162.966,51.537,164.827,230.825,165.37400000000002,258.282,165.31799999999998,65.503,167.706,264.89799999999997,167.62900000000002,99.61399999999999,168.56400000000002,316.67400000000004,168.99,276.976,150.69899999999998,302.28,153.174,230.662,153.749,259.306,155.32299999999998,120.23299999999999,158.069,116.728,120.94200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.5,1434.0,,91.28399999999999,188.394,358.0,2.0,112.07600000000001,174.66099999999997,280.323,175.08,105.698,178.81799999999998,70.459,180.53400000000002,81.945,180.329,273.78,180.58599999999998,304.645,180.50799999999998,248.861,88.09200000000001,88.689,105.27600000000001,201.00900000000001,111.76,78.53,123.061,155.428,123.75399999999999,143.275,127.374,267.524,118.426,103.14200000000001,119.95299999999999,112.595,137.08,73.99600000000001,138.778,296.938,129.209,262.814,130.024,321.339,144.546,215.854,146.119,265.403,147.654,50.003,148.97299999999998,258.177,139.292,244.22,142.534,89.001,143.469,115.12,145.305,88.375,162.903,51.54,164.804,230.851,165.357,258.29900000000004,165.235,65.501,167.695,264.874,167.6,99.571,168.502,316.693,168.975,276.96,150.696,302.285,153.172,230.69799999999998,153.715,259.293,155.29399999999998,120.196,158.09,116.773,121.01100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
