TimesH,Frame,NoMissing,80,80,88,88,89,89,106,106,111,111,115,115,117,117,132,132,134,134,135,135,136,136,143,143,160,160,165,165,190,190,203,203,211,211,217,217,223,223,233,233,234,234,236,236,245,245,251,251,256,256,263,263,273,273,278,278,279,279,287,287,294,294,299,299,315,315,316,316,326,326,436,436,578,578,827,827,1023,1023
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
184.75,739.0,,243.745,110.35,126.992,116.554,271.76099999999997,114.374,110.11200000000001,129.219,69.601,130.099,236.257,130.98,222.18900000000002,134.86,78.51100000000001,126.876,261.948,125.036,104.734,143.355,62.63399999999999,143.144,113.402,145.879,110.34899999999999,138.795,260.345,153.97,65.937,152.555,309.735,167.139,265.668,170.19799999999998,237.831,161.263,105.434,161.898,98.546,179.37599999999998,59.345,178.188,289.45099999999996,179.02200000000002,47.589,172.99200000000002,87.15700000000001,172.72799999999998,83.61200000000001,176.912,59.826,188.033,135.835,190.338,130.779,182.37,77.25,182.112,92.22,184.19799999999998,102.361,196.322,273.106,197.032,308.475,192.3,115.792,194.16299999999998,254.514,201.761,131.018,167.795,,,,,,
185.0,740.0,,243.77900000000002,110.35600000000001,126.83200000000001,116.639,271.715,114.32799999999999,110.17200000000001,129.27,69.634,130.07299999999998,236.261,130.825,222.21,134.869,78.417,126.704,261.927,124.991,104.75399999999999,143.39700000000002,62.597,143.214,113.391,145.839,110.39399999999999,138.72799999999998,260.339,153.96,65.892,152.602,309.748,167.139,265.745,170.203,237.812,161.252,105.464,161.929,98.596,179.47299999999998,59.353,178.185,289.454,179.024,47.602,173.016,87.199,172.82,83.65100000000001,176.903,59.801,188.03400000000002,135.825,190.292,130.773,182.347,77.34100000000001,182.08900000000003,92.221,184.19099999999997,102.456,196.33599999999998,273.046,197.03400000000002,308.397,192.206,115.807,194.15400000000002,254.554,201.729,130.997,167.834,,,,,,
185.25,741.0,,243.81099999999998,110.37299999999999,126.87100000000001,116.64,271.72700000000003,114.32700000000001,110.117,129.189,69.639,130.102,236.183,130.661,222.202,134.85299999999998,78.34899999999999,126.693,261.906,124.965,104.758,143.38299999999998,62.693999999999996,143.349,113.415,145.868,110.431,138.703,260.32099999999997,153.928,65.91199999999999,152.591,309.753,167.14,265.655,170.187,237.778,161.24200000000002,105.459,161.97299999999998,98.71600000000001,179.521,59.403999999999996,178.179,289.453,179.015,47.608000000000004,173.00599999999997,87.197,172.83599999999998,83.646,176.94,59.806000000000004,188.03799999999998,135.87,190.25099999999998,130.754,182.331,77.438,182.051,92.17200000000001,184.195,102.473,196.28599999999997,273.084,196.982,308.355,192.19799999999998,115.824,194.127,254.56099999999998,201.705,131.111,167.842,,,,,,
185.5,742.0,,243.83599999999998,110.37899999999999,126.76700000000001,116.6,271.653,114.35600000000001,110.137,129.15200000000002,69.62899999999999,130.063,236.138,130.69899999999998,222.149,134.84,78.44800000000001,126.61399999999999,261.901,124.92399999999999,104.73299999999999,143.369,62.75,143.625,113.42200000000001,145.80200000000002,110.368,138.711,260.348,153.944,65.94800000000001,152.664,309.783,167.12400000000002,265.617,170.174,237.762,161.231,105.441,161.966,98.71600000000001,179.537,59.45399999999999,178.17700000000002,289.4,179.01,47.606,173.016,87.204,172.821,83.63600000000001,176.955,59.729,188.055,135.892,190.217,130.773,182.294,77.46300000000001,182.07299999999998,92.193,184.18400000000003,102.536,196.21900000000002,273.106,196.93200000000002,308.37,192.153,115.84899999999999,194.09400000000002,254.57,201.734,131.077,167.799,,,,,,
185.75,743.0,,243.865,110.354,126.77799999999999,116.572,271.579,114.32,110.1,129.174,69.602,130.06799999999998,236.13,130.859,222.12099999999998,134.835,78.434,126.735,261.895,124.95100000000001,104.71700000000001,143.379,62.82899999999999,143.642,113.42200000000001,145.786,110.367,138.708,260.36400000000003,153.959,65.934,152.657,309.81,167.12,265.556,170.15400000000002,237.753,161.192,105.46600000000001,161.977,98.71799999999999,179.565,59.503,178.113,289.411,179.002,47.614,173.00900000000001,87.206,172.822,83.633,176.915,59.742,188.042,135.863,190.215,130.756,182.31400000000002,78.329,181.90900000000002,92.19,184.195,102.595,196.17,273.122,196.905,308.363,192.203,115.825,194.07,254.515,201.63,131.093,167.791,,,,,,
186.0,744.0,,243.88099999999997,110.316,126.904,116.57,271.612,114.325,110.177,129.12,69.58,130.065,236.123,130.781,222.173,134.822,78.45,126.573,261.94,124.92200000000001,104.719,143.361,63.001999999999995,143.893,113.39399999999999,145.768,110.334,138.759,260.35400000000004,153.942,65.938,152.61,309.801,167.11700000000002,265.617,170.18200000000002,237.753,161.187,105.485,161.975,98.69,179.549,59.532,178.125,289.394,179.00900000000001,47.622,173.028,87.21,172.77599999999998,83.587,176.925,59.768,188.03,135.809,190.183,130.73,182.298,78.26899999999999,181.88400000000001,92.26100000000001,184.18400000000003,102.62899999999999,196.153,273.115,196.915,308.401,192.201,115.85600000000001,194.048,254.475,201.54,130.904,167.739,,,,,,
186.25,745.0,,243.88299999999998,110.319,126.875,116.661,271.608,114.32,110.12899999999999,129.16299999999998,69.56,130.086,236.08599999999998,130.428,222.19,134.825,78.47,126.413,261.972,124.90899999999999,104.70700000000001,143.356,63.056999999999995,144.27100000000002,113.475,145.695,110.292,138.781,260.363,153.939,65.919,152.60399999999998,309.83799999999997,167.08700000000002,265.48,170.125,237.767,161.172,105.478,161.967,98.64399999999999,179.56099999999998,59.501000000000005,178.167,289.379,179.012,47.608000000000004,173.033,87.162,172.80200000000002,83.60799999999999,176.875,59.721000000000004,188.02200000000002,135.799,190.166,130.74,182.29,78.366,181.864,92.275,184.199,102.74600000000001,196.123,273.193,196.88099999999997,308.382,192.16099999999997,115.863,194.048,254.43099999999998,201.53900000000002,130.85299999999998,167.722,,,,,,
186.5,746.0,,243.872,110.281,126.67399999999999,116.64200000000001,271.702,114.32,110.147,129.164,69.547,130.112,236.123,130.489,222.185,134.821,78.64,126.584,262.018,124.95700000000001,104.719,143.343,63.107,144.334,113.50299999999999,145.691,110.171,138.797,260.345,153.938,65.851,152.703,309.879,167.083,265.402,170.105,237.767,161.15,105.469,161.975,98.602,179.50599999999997,59.585,178.19299999999998,289.381,179.012,47.61600000000001,173.046,87.17399999999999,172.75900000000001,83.596,176.895,59.69,188.015,135.804,190.125,130.77,182.24900000000002,78.244,181.895,92.281,184.19400000000002,102.88799999999999,196.093,273.184,196.895,308.36400000000003,192.12,115.891,194.03,254.37099999999998,201.514,130.879,167.71400000000003,,,,,,
186.75,747.0,,243.84599999999998,110.289,126.80799999999999,116.73100000000001,271.673,114.29700000000001,110.223,129.14600000000002,69.568,130.085,236.122,130.22,222.183,134.81,78.641,126.64,262.018,124.904,104.71799999999999,143.33100000000002,63.181000000000004,144.41,113.51899999999999,145.69299999999998,110.15899999999999,138.873,260.35,153.944,65.867,152.716,309.907,167.093,265.428,170.101,237.767,161.123,105.46,161.97299999999998,98.46600000000001,179.34599999999998,59.601000000000006,178.176,289.39599999999996,179.002,47.621,173.062,87.17,172.753,83.624,176.93900000000002,59.662,188.01,135.839,190.104,130.789,182.218,78.434,181.86,92.264,184.207,102.84100000000001,196.078,273.147,196.92,308.54900000000004,192.19400000000002,115.89399999999999,194.042,254.354,201.457,130.957,167.75599999999997,,,,,,
187.0,748.0,,243.832,110.296,126.76,116.766,271.692,114.26899999999999,110.245,129.23,69.571,130.08700000000002,236.02700000000002,130.106,222.19,134.83700000000002,78.641,126.523,262.007,124.787,104.74700000000001,143.319,63.181999999999995,144.506,113.508,145.716,110.15299999999999,138.861,260.31,153.91,65.89,152.69899999999998,309.921,167.093,265.29400000000004,170.058,237.761,161.091,105.459,162.01,98.462,179.354,59.58,178.144,289.39099999999996,178.995,47.635,173.07299999999998,87.19200000000001,172.72,83.632,176.94799999999998,59.66,187.99400000000003,135.832,190.09900000000002,130.789,182.204,78.562,181.875,92.275,184.22,103.046,196.019,273.161,196.87,308.626,192.206,115.919,194.049,254.358,201.463,130.959,167.791,,,,,,
187.25,749.0,,243.831,110.265,126.69,116.831,271.595,114.25200000000001,110.18299999999999,129.267,69.59,130.069,235.92,130.12,222.203,134.85399999999998,78.476,126.40700000000001,262.009,124.74,104.771,143.334,63.224,144.986,113.477,145.808,110.20100000000001,138.928,260.296,153.924,65.878,152.718,309.902,167.09099999999998,265.178,169.998,237.77700000000002,161.08700000000002,105.454,162.011,98.59700000000001,179.543,59.598,178.146,289.399,179.015,47.661,173.09,87.176,172.708,83.574,177.054,59.62,187.99,135.819,190.078,130.764,182.208,78.598,181.86900000000003,92.287,184.24900000000002,103.11200000000001,196.018,273.147,196.84599999999998,308.71299999999997,192.17,115.90700000000001,194.03799999999998,254.388,201.50400000000002,130.91299999999998,167.699,,,,,,
187.5,750.0,,243.854,110.279,126.6,116.831,271.635,114.23,110.12100000000001,129.292,69.577,130.083,235.922,129.916,222.187,134.865,78.414,126.337,261.992,124.71600000000001,104.795,143.315,63.225,144.83700000000002,113.462,145.834,110.164,138.917,260.27,153.923,65.83,152.709,309.88599999999997,167.072,265.092,169.949,237.787,161.083,105.429,161.999,98.412,179.359,59.602,178.172,289.39799999999997,179.00599999999997,47.663999999999994,173.09799999999998,87.184,172.65900000000002,83.506,177.15099999999998,59.607,187.957,135.839,190.044,130.754,182.213,78.62899999999999,181.894,92.3,184.248,103.21799999999999,195.977,273.101,196.90200000000002,308.8,192.19,115.928,194.048,254.333,201.453,131.088,167.808,,,,,,
187.75,751.0,,243.84400000000002,110.28299999999999,126.696,116.88,271.595,114.211,110.15799999999999,129.38,69.589,130.047,235.93,129.91899999999998,222.19299999999998,134.872,78.389,126.441,261.99,124.726,104.80799999999999,143.345,63.317,145.02100000000002,113.48700000000001,145.876,110.134,138.845,260.288,153.91,65.827,152.722,309.935,167.07,265.09,169.937,237.774,161.069,105.405,162.023,98.613,179.57,59.638000000000005,178.18,289.388,179.017,47.662,173.101,87.179,172.62099999999998,83.491,177.18400000000003,59.578,187.923,135.774,190.023,130.744,182.217,78.657,181.90099999999998,92.306,184.239,103.323,195.965,273.085,196.885,308.754,192.138,115.93700000000001,194.03400000000002,254.312,201.36700000000002,130.989,167.834,,,,,,
