Filename,190301_ALB_P2R2G_homo_water.clklb,,,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  01-03-19,,,,,,,,,,,,,,,,,,,,,,,,
End Day,24  24-03-19,,,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0,,,,,,,,,,,,,,,,,,,,,,,,
Tau,24,,,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
74,NaN,0,72,60,31,40,60,33,91,109,81,0,79,0,79,80,0,89,90,79,11,114,130,11,134
75,NaN,64,27,34,2,136,88,39,84,69,87,2,93,0,15,69,0,42,48,23,42,63,88,21,83
76,NaN,63,80,111,11,88,68,14,91,63,38,4,70,12,1,36,11,59,134,58,60,38,70,64,86
77,NaN,24,59,69,8,78,15,6,42,67,123,4,27,9,2,105,0,32,52,18,75,79,78,108,90
78,NaN,113,46,60,0,75,139,40,62,45,68,3,92,58,33,73,3,98,54,29,75,34,39,26,43
79,NaN,56,50,79,9,43,97,31,44,115,71,0,76,14,48,64,0,58,61,102,43,31,136,117,71
80,NaN,68,11,30,7,125,92,37,63,67,62,7,90,2,22,78,0,80,33,53,114,4,80,40,60
81,NaN,78,93,111,3,75,41,34,41,32,46,7,46,10,37,46,0,78,64,93,82,0,88,65,91
82,NaN,30,58,56,2,65,40,14,16,65,113,4,46,17,6,116,0,33,47,73,72,12,104,70,76
83,NaN,109,30,74,3,83,132,50,75,36,81,21,97,4,11,73,99,129,64,57,68,25,30,4,50
84,NaN,65,19,80,63,40,79,74,73,115,64,0,64,1,17,88,49,86,69,105,41,2,128,19,133
85,NaN,41,11,33,51,122,0,0,71,73,79,14,48,0,45,74,18,75,49,77,116,2,77,2,74
86,NaN,64,16,101,38,81,52,115,74,71,37,4,54,15,71,42,5,81,143,81,87,36,84,0,83
87,NaN,29,2,72,20,91,78,75,39,75,67,9,22,0,25,120,2,41,46,35,72,145,49,5,83
88,NaN,66,1,73,0,53,66,85,104,35,77,5,108,1,38,79,19,105,25,66,66,33,78,0,41
89,NaN,74,0,66,4,35,61,91,75,96,41,2,73,3,9,81,2,62,29,66,8,0,82,20,113
90,NaN,38,0,30,3,139,6,25,74,82,92,3,54,10,6,87,9,59,37,60,109,10,86,5,87
91,NaN,73,69,95,0,107,75,135,65,63,82,5,46,12,51,42,0,48,8,41,88,6,48,0,82
