TimesH,Frame,NoMissing,0,0,4,4,5,5,19,19,22,22,27,27,28,28,33,33,34,34,37,37,77,77,85,85,88,88,90,90,93,93,95,95,99,99,101,101,111,111,115,115,121,121,124,124,125,125,131,131,134,134,135,135,140,140,141,141,144,144,146,146,147,147,151,151,153,153,154,154,160,160,163,163,164,164,170,170,172,172,177,177,181,181,183,183,185,185,189,189,191,191,193,193,195,195,196,196,198,198,199,199,203,203,204,204,205,205,206,206,209,209,210,210,213,213,214,214,217,217,218,218,220,220,222,222,225,225,288,288,309,309,379,379,392,392,413,413,442,442,450,450,520,520,559,559,592,592,605,605,705,705
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.0,8.0,,261.095,188.011,119.435,188.36,63.778,187.857,109.07799999999999,186.88299999999998,,,137.754,196.525,104.765,195.63400000000001,127.541,191.605,92.193,194.75400000000002,224.918,192.82,252.86700000000002,84.51700000000001,237.769,130.583,138.921,130.865,294.37,129.151,128.475,134.942,114.661,133.959,96.102,115.926,131.52700000000002,114.057,149.60299999999998,117.792,78.22399999999999,143.293,114.47200000000001,143.496,68.14399999999999,137.257,33.041,137.042,56.791000000000004,150.03799999999998,305.003,151.116,317.341,150.16899999999998,283.61400000000003,144.533,291.878,144.39,297.105,147.865,154.572,157.00799999999998,124.005,157.019,145.116,159.749,89.536,158.164,110.87100000000001,156.882,216.36900000000003,155.361,53.538999999999994,164.41,255.513,163.554,271.318,164.425,244.797,161.303,81.407,162.221,314.902,169.725,279.101,170.514,251.662,172.635,287.339,168.143,62.794,167.40900000000002,83.416,169.59900000000002,258.813,177.09400000000002,236.761,177.22400000000002,220.56599999999997,175.50099999999998,297.73900000000003,177.826,128.188,173.985,76.607,173.985,61.711000000000006,173.46400000000003,293.436,172.571,244.852,173.50599999999997,150.333,174.253,70.78699999999999,183.847,266.324,182.842,93.228,185.355,306.447,184.93,272.392,182.386,287.715,179.351,204.797,182.74400000000003,,,,,,,,,,,,,,,,,,,,,,,,
2.25,9.0,,261.123,187.833,119.473,188.30900000000003,63.739,187.824,109.113,186.89,241.648,193.96900000000002,137.679,196.535,104.819,195.68200000000002,127.706,191.479,92.262,194.732,224.627,192.28099999999998,252.75599999999997,84.512,237.77200000000002,130.533,138.922,130.91299999999998,294.41700000000003,129.06,128.515,134.91299999999998,114.693,133.94299999999998,96.17399999999999,115.929,131.327,114.084,149.571,117.87100000000001,78.208,143.24200000000002,114.47200000000001,143.523,68.221,137.29399999999998,33.104,136.977,56.778,150.064,305.026,151.10299999999998,317.335,150.11700000000002,283.675,144.332,291.857,144.444,297.067,147.85,154.56,156.94,123.979,156.989,145.11,159.696,89.525,158.18,110.846,156.881,216.46099999999998,155.459,53.488,164.417,255.47400000000002,163.562,271.336,164.52200000000002,244.82,161.305,81.416,162.224,314.901,169.74400000000003,279.098,170.584,251.62900000000002,172.56799999999998,287.347,168.141,62.803000000000004,167.44400000000002,83.443,169.588,258.815,177.062,236.67,177.217,220.55700000000002,175.502,297.73900000000003,177.801,128.187,173.981,76.57,173.97299999999998,61.715,173.332,293.633,172.43099999999998,244.683,173.47799999999998,150.274,174.294,70.767,183.822,266.399,182.794,93.264,185.377,306.376,184.94799999999998,272.428,182.30700000000002,287.747,179.34799999999998,204.722,182.83900000000003,,,,,,,,,,,,,,,,,,,,,,,,
2.5,10.0,,261.124,187.792,119.4,188.24200000000002,63.74100000000001,187.771,109.11200000000001,186.84599999999998,241.695,194.09400000000002,137.769,196.476,104.616,195.669,127.73200000000001,191.46,92.405,194.65599999999998,224.605,192.19400000000002,252.72099999999998,84.416,237.769,130.512,138.95600000000002,130.89,294.378,129.127,128.565,134.911,114.677,133.935,96.212,115.838,131.368,114.079,149.66299999999998,117.714,78.191,143.235,114.488,143.65200000000002,68.084,137.167,33.106,136.964,56.783,150.029,305.027,151.108,317.459,150.08100000000002,283.671,144.173,291.911,144.438,297.195,147.819,154.547,156.83100000000002,123.898,156.94799999999998,145.124,159.639,89.50200000000001,158.167,110.845,156.874,216.483,155.477,53.501000000000005,164.446,255.456,163.559,271.356,164.56799999999998,244.84099999999998,161.327,81.42399999999999,162.211,314.892,169.666,279.10400000000004,170.56900000000002,251.64700000000002,172.57299999999998,287.389,168.14,62.824,167.37599999999998,83.43799999999999,169.579,258.731,176.99200000000002,236.72299999999998,177.273,220.465,175.622,297.678,177.8,128.18,173.94400000000002,76.541,173.93400000000003,61.681999999999995,173.243,293.79900000000004,172.34400000000002,244.63299999999998,173.442,150.322,174.238,70.758,183.783,266.434,182.821,93.281,185.31900000000002,306.423,185.023,272.444,182.34099999999998,287.757,179.332,204.766,182.93099999999998,,,,,,,,,,,,,,,,,,,,,,,,
2.75,11.0,,261.082,187.738,119.39200000000001,188.24200000000002,63.732,187.668,109.12200000000001,186.815,241.605,193.956,137.804,196.392,105.0,196.0,127.684,191.49099999999999,92.37100000000001,194.657,224.447,191.845,252.75799999999998,84.425,237.645,130.411,138.965,130.907,294.473,129.089,128.645,134.746,114.785,133.933,96.208,115.861,131.232,114.14200000000001,149.60299999999998,117.846,78.176,143.162,114.455,143.512,68.118,137.164,33.146,136.903,56.83,150.061,305.034,151.079,317.427,150.093,283.67400000000004,144.134,291.985,144.44799999999998,297.08299999999997,147.796,154.605,156.834,123.89399999999999,156.894,145.122,159.616,89.445,158.216,110.852,156.852,216.485,155.49,53.48,164.46,255.362,163.572,271.371,164.56,244.843,161.305,81.39699999999999,162.202,314.88599999999997,169.72299999999998,278.986,170.428,251.628,172.517,287.409,168.11599999999999,62.828,167.32299999999998,83.419,169.56799999999998,258.70599999999996,176.96099999999998,236.703,177.21599999999998,220.497,175.59400000000002,297.712,177.768,128.09799999999998,173.993,76.553,173.882,61.678000000000004,173.247,293.906,172.291,244.61900000000003,173.408,150.297,174.265,70.759,183.78799999999998,266.445,182.753,93.257,185.305,306.302,184.981,272.473,182.361,287.754,179.34599999999998,204.91400000000002,182.755,,,,,,,,,,,,,,,,,,,,,,,,
3.0,12.0,,261.115,187.60299999999998,119.369,188.19299999999998,63.693000000000005,187.6,109.181,186.8,,,137.816,196.477,104.54899999999999,195.71900000000002,127.477,191.572,92.39,194.649,224.542,191.94400000000002,252.683,84.258,237.581,130.344,138.994,130.892,294.504,129.035,128.665,134.752,114.77,133.915,96.145,115.959,131.024,114.18700000000001,149.627,117.78,78.191,143.186,114.758,143.512,68.047,137.155,33.172,136.812,56.778999999999996,150.039,305.04400000000004,151.06799999999998,317.491,150.191,283.652,144.072,291.97900000000004,144.381,297.216,147.819,154.64700000000002,156.834,123.95100000000001,156.894,145.097,159.567,89.391,158.244,110.852,156.832,216.393,155.494,53.471000000000004,164.47,255.34400000000002,163.562,271.35200000000003,164.50900000000001,244.847,161.305,81.416,162.178,314.909,169.69400000000002,279.072,170.582,251.612,172.53400000000002,287.381,168.107,62.812,167.264,83.42,169.548,258.702,176.922,236.657,177.203,220.422,175.717,297.77099999999996,177.736,128.064,174.011,76.527,173.83599999999998,61.708,173.25900000000001,294.119,172.205,244.61900000000003,173.40900000000002,150.284,174.22299999999998,70.703,183.77900000000002,266.42400000000004,182.71099999999998,93.285,185.3,306.23400000000004,184.97799999999998,272.465,182.342,287.765,179.328,204.84400000000002,182.488,,,,,,,,,,,,,,,,,,,,,,,,
3.25,13.0,,261.087,187.56799999999998,119.35,188.179,63.705,187.644,109.199,186.732,,,137.879,196.312,104.529,195.565,127.506,191.565,92.43799999999999,194.578,224.672,191.968,252.683,84.185,237.502,130.255,139.007,130.885,294.57,128.917,128.684,134.662,114.756,133.89600000000002,96.12700000000001,115.95100000000001,131.586,113.988,149.68200000000002,117.734,78.14399999999999,143.135,114.729,143.446,68.11399999999999,137.138,33.077,136.847,56.758,150.045,305.04,151.046,317.528,150.16299999999998,283.644,144.065,291.975,144.298,297.623,147.825,154.58,156.825,123.914,156.89700000000002,145.1,159.58700000000002,89.355,158.261,110.855,156.821,216.347,155.48,53.483000000000004,164.386,255.25900000000001,163.559,271.308,164.468,244.855,161.30700000000002,81.411,162.171,314.889,169.796,278.95599999999996,170.41400000000002,251.595,172.575,287.369,168.09099999999998,62.75899999999999,167.157,83.444,169.49200000000002,258.728,176.933,236.722,177.27900000000002,220.40599999999998,175.727,297.778,177.7,128.032,174.028,76.551,173.831,61.715,173.209,294.018,172.218,244.638,173.412,150.22899999999998,174.215,70.687,183.752,266.444,182.73,93.19200000000001,185.266,306.29400000000004,185.00099999999998,272.468,182.47299999999998,287.778,179.312,204.787,182.503,,,,,,,,,,,,,,,,,,,,,,,,
3.5,14.0,,261.064,187.43099999999998,119.318,188.097,63.648,187.592,109.161,186.755,,,137.903,196.342,104.569,195.74400000000003,127.72,191.395,92.454,194.576,224.696,192.08,252.71900000000002,84.22,237.465,130.131,139.004,130.868,294.65,128.769,128.713,134.61700000000002,114.775,133.915,96.15100000000001,116.012,131.582,113.94,149.658,117.652,78.138,143.13,114.84200000000001,143.43200000000002,68.155,137.17600000000002,33.111,136.828,56.727,150.075,305.052,151.056,317.528,150.134,283.683,144.01,291.962,144.268,297.67900000000003,147.827,154.577,156.781,123.91799999999999,156.858,145.173,159.556,89.337,158.284,110.85600000000001,156.80200000000002,216.30599999999998,155.491,53.475,164.38099999999997,255.18099999999998,163.54,271.30400000000003,164.503,244.84,161.291,81.398,162.151,314.892,169.773,279.026,170.544,251.583,172.554,287.369,168.09400000000002,62.76,167.085,83.42,169.528,258.71,176.942,236.73,177.317,220.373,175.793,297.718,177.702,127.979,174.06599999999997,76.507,173.778,61.729,173.171,294.02299999999997,172.19299999999998,244.574,173.36700000000002,150.205,174.203,70.66199999999999,183.761,266.42900000000003,182.73,93.189,185.24099999999999,306.33799999999997,185.05700000000002,272.475,182.55599999999998,287.785,179.285,204.69,182.43099999999998,238.62099999999998,139.80200000000002,,,,,,,,,,,,,,,,,,,,,,
3.75,15.0,,261.04400000000004,187.40099999999998,119.399,188.072,63.651,187.533,109.13799999999999,186.743,,,137.873,196.27,104.583,195.778,127.726,191.354,92.492,194.545,224.623,191.857,252.705,84.16799999999999,237.388,130.034,139.034,130.878,294.665,128.768,128.704,134.592,114.84100000000001,133.864,96.164,116.007,131.60299999999998,114.039,149.692,117.61,78.115,143.15,114.848,143.399,68.143,137.127,33.055,136.779,56.716,150.02700000000002,305.043,150.993,317.519,150.09,283.678,143.95,291.916,144.224,297.407,147.85,154.60299999999998,156.798,123.971,156.817,145.278,159.477,89.315,158.27,110.895,156.748,216.18599999999998,155.44299999999998,53.483000000000004,164.362,255.15400000000002,163.52200000000002,271.302,164.512,244.826,161.25,81.36,162.131,314.945,169.707,279.022,170.551,251.553,172.545,287.39799999999997,168.113,62.773,167.058,83.413,169.515,258.682,176.903,236.792,177.334,220.342,175.71099999999998,297.723,177.65099999999998,127.94,174.109,76.533,173.765,61.726000000000006,173.127,294.07,172.149,244.515,173.287,150.172,174.188,70.64,183.732,266.416,182.76,93.186,185.243,306.308,185.19099999999997,272.474,182.44799999999998,287.797,179.282,204.66,182.458,237.0,139.0,,,,,,,,,,,,,,,,,,,,,,
4.0,16.0,,261.039,187.394,119.649,187.959,63.675,187.417,109.12799999999999,186.709,,,137.874,196.28099999999998,104.51100000000001,195.609,127.682,191.345,92.87299999999999,194.612,224.668,191.857,252.696,84.169,237.357,129.991,139.002,130.863,294.718,128.623,128.732,134.54399999999998,114.825,133.843,96.101,116.031,131.739,113.95299999999999,149.762,117.42200000000001,78.138,143.13,114.90899999999999,143.279,68.145,137.084,33.118,136.70600000000002,56.638000000000005,149.977,305.065,150.986,317.566,150.056,283.685,144.013,291.92900000000003,144.247,297.595,147.78799999999998,154.69899999999998,156.82299999999998,123.99,156.81,145.265,159.442,89.335,158.268,110.881,156.741,216.15,155.37,53.465,164.354,255.085,163.536,271.258,164.424,244.84799999999998,161.20600000000002,81.34,162.114,314.931,169.77599999999998,279.028,170.65,251.53400000000002,172.495,287.38,168.06400000000002,62.777,166.91400000000002,83.425,169.476,258.59,176.88,236.662,177.274,220.298,175.75900000000001,297.69,177.643,127.926,174.127,76.524,173.761,61.727,173.10299999999998,293.807,172.22299999999998,244.533,173.29,150.195,174.17700000000002,70.641,183.71,266.383,182.75,93.22,185.22400000000002,306.358,185.166,272.432,182.547,287.797,179.255,204.702,182.43200000000002,236.56400000000002,138.909,,,,,,,,,,,,,,,,,,,,,,
4.25,17.0,,261.025,187.27200000000002,119.57700000000001,187.88099999999997,63.614,187.36700000000002,109.251,186.608,241.16299999999998,192.408,137.92700000000002,196.205,104.54700000000001,195.639,127.73,191.30900000000003,92.948,194.582,224.58900000000003,191.6,252.67700000000002,84.22,237.24900000000002,129.805,138.99,130.841,294.857,128.30100000000002,128.809,134.437,114.837,133.812,96.056,116.012,131.937,113.743,149.701,117.632,78.126,143.148,114.88799999999999,143.253,68.10600000000001,137.101,33.07,136.635,56.563,149.907,305.074,150.918,317.472,149.885,283.703,143.951,291.861,144.312,297.668,147.695,154.65,156.834,124.006,156.781,145.356,159.411,89.324,158.319,110.914,156.684,216.136,155.385,53.476000000000006,164.294,255.076,163.495,271.251,164.498,244.86,161.208,81.334,162.112,314.938,169.732,278.998,170.62099999999998,251.49400000000003,172.513,287.351,168.06799999999998,62.784,166.886,83.412,169.46,258.652,176.81599999999997,236.80900000000003,177.32299999999998,220.312,175.799,297.668,177.636,127.87700000000001,174.287,76.497,173.729,61.74,173.003,293.586,172.294,244.50099999999998,173.22299999999998,150.217,174.142,70.581,183.761,266.42400000000004,182.725,93.28299999999999,185.245,306.367,185.033,272.414,182.612,287.808,179.28900000000002,204.702,182.521,236.579,138.839,,,,,,,,,,,,,,,,,,,,,,
